DC,mexCD
0,1.1281020680783
0,1.12139769671135
0,1.07656328974521
0.5,1.1112038104293
0.5,1.1255304075454
0.5,1.15509665022846
1,1.63846303257653
1,1.50402241609319
1,1.27141716909121
5,1.62372650391825
5,1.6894615993364
5,1.8280945402629
10,1.81105983080543
10,1.78785471567587
10,1.84282969832319
20,1.66322344765189
20,1.74611582218413
20,1.88183508769734
30,1.92824982994528
30,1.71357488897685
30,1.76967254288861
